"Rank","Tier","WSID","Overall","Team","Pos","Bye","Age","Best","Worst","Avg","Std Dev"
"1","undefined","","Christian McCaffrey","CAR","RB1","13","24","1","2","1.1","0.3"
"2","undefined","","Saquon Barkley","NYG","RB2","11","23","1","3","2.1","0.2"
"3","undefined","","Michael Thomas","NO","WR1","6","27","1","8","2.9","0.5"
"4","undefined","","Ezekiel Elliott","DAL","RB3","10","24","3","8","5.2","0.9"
"5","undefined","","Alvin Kamara","NO","RB4","6","24","4","14","5.7","1.6"
"6","undefined","","Dalvin Cook","MIN","RB5","7","24","3","16","7.2","2.2"
"7","undefined","","DeAndre Hopkins","ARI","WR2","8","28","4","20","7.9","2.8"
"8","undefined","","Davante Adams","GB","WR3","5","27","4","20","8.4","2.8"
"9","undefined","","Tyreek Hill","KC","WR4","10","26","4","18","8.5","2.0"
"10","undefined","","Chris Godwin","TB","WR5","13","24","4","21","10.2","1.5"
"11","undefined","","Joe Mixon","CIN","RB6","9","23","5","18","11.0","2.6"
"12","undefined","","Nick Chubb","CLE","RB7","9","24","9","21","14.9","2.9"
"13","undefined","","JuJu Smith-Schuster","PIT","WR6","8","23","9","26","15.0","4.9"
"14","undefined","","Mike Evans","TB","WR7","13","26","8","32","16.2","4.6"
"15","undefined","","D.J. Moore","CAR","WR8","13","23","7","42","16.4","3.1"
"16","undefined","","Josh Jacobs","LV","RB8","6","22","6","30","17.1","4.3"
"17","undefined","","Jonathan Taylor","IND","RB9","7","21","7","40","18.1","7.7"
"18","undefined","","Miles Sanders","PHI","RB10","9","23","9","33","18.9","4.5"
"19","undefined","","Clyde Edwards-Helaire","KC","RB11","10","21","9","32","19.1","5.4"
"20","undefined","","Amari Cooper","DAL","WR9","10","26","10","32","20.9","4.8"
"21","undefined","","A.J. Brown","TEN","WR10","7","22","14","43","21.4","4.2"
"22","undefined","","George Kittle","SF","TE1","11","26","16","31","21.6","4.0"
"23","undefined","","Kenny Golladay","DET","WR11","5","26","13","36","22.9","4.6"
"24","undefined","","Odell Beckham Jr.","CLE","WR12","9","27","14","40","23.7","6.5"
"25","undefined","","Derrick Henry","TEN","RB12","7","25","16","42","26.2","4.5"
"26","undefined","","Courtland Sutton","DEN","WR13","8","24","18","48","30.1","7.1"
