1,Christian McCaffrey,CAR,RB1,13,24,1 out of 5 stars,0
2,Alvin Kamara,NO,RB2,6,25,2 out of 5 stars,-5
3,Dalvin Cook,MIN,RB3,7,25,4 out of 5 stars,-2
4,D.K. Metcalf,SEA,WR1,6,22,2 out of 5 stars,-48
5,Davante Adams,GB,WR2,5,27,4 out of 5 stars,-3
6,Saquon Barkley,NYG,RB4,11,23,0 out of 5 stars,3
7,Tyreek Hill,KC,WR3,10,26,2 out of 5 stars,-3
8,DeAndre Hopkins,ARI,WR4,8,28,3 out of 5 stars,-10
9,Michael Thomas,NO,WR5,6,27,3 out of 5 stars,3
10,A.J. Brown,TEN,WR6,4,23,3 out of 5 stars,-24
11,Clyde Edwards-Helaire,KC,RB5,10,21,3 out of 5 stars,-4
12,Derrick Henry,TEN,RB6,4,26,4 out of 5 stars,8
13,Chris Godwin,TB,WR7,13,24,0 out of 5 stars,-7
14,Ezekiel Elliott,DAL,RB7,10,25,0 out of 5 stars,12
15,Miles Sanders,PHI,RB8,9,23,1 out of 5 stars,-8
16,Josh Jacobs,LV,RB9,6,22,3 out of 5 stars,4
17,Terry McLaurin,WAS,WR8,8,25,4 out of 5 stars,-47
18,CeeDee Lamb,DAL,WR9,10,21,3 out of 5 stars,-80
19,Nick Chubb,CLE,RB10,9,24,3 out of 5 stars,10
20,Jonathan Taylor,IND,RB11,7,21,5 out of 5 stars,-13
21,George Kittle,SF,TE1,11,27,2 out of 5 stars,-1
22,Aaron Jones,GB,RB12,5,26,3 out of 5 stars,8
23,Calvin Ridley,ATL,WR10,10,25,2 out of 5 stars,-20
24,J.K. Dobbins,BAL,RB13,7,21,3 out of 5 stars,-64
25,D'Andre Swift,DET,RB14,5,21,3 out of 5 stars,-44
26,Kenny Golladay,DET,WR11,5,27,2 out of 5 stars,1
27,D.J. Moore,CAR,WR12,13,23,3 out of 5 stars,-15
28,Patrick Mahomes II,KC,QB1,10,25,2 out of 5 stars,12
29,Allen Robinson II,CHI,WR13,11,27,4 out of 5 stars,-9
30,Austin Ekeler,LAC,RB15,6,25,3 out of 5 stars,6
31,Joe Mixon,CIN,RB16,9,24,3 out of 5 stars,20
32,Justin Jefferson,MIN,WR14,7,21,4 out of 5 stars,-88
33,Travis Kelce,KC,TE2,10,31,3 out of 5 stars,14
34,Stefon Diggs,BUF,WR15,11,27,3 out of 5 stars,-23
35,Amari Cooper,DAL,WR16,10,26,3 out of 5 stars,7
36,Mike Evans,TB,WR17,13,27,0 out of 5 stars,10
37,Keenan Allen,LAC,WR18,6,28,3 out of 5 stars,-16
38,Tee Higgins,CIN,WR19,9,21,4 out of 5 stars,-169
39,JuJu Smith-Schuster,PIT,WR20,4,24,3 out of 5 stars,8
40,Cooper Kupp,LAR,WR21,9,27,4 out of 5 stars,1
41,Antonio Gibson,WAS,RB17,8,22,2 out of 5 stars,-88
42,Kyler Murray,ARI,QB2,8,23,3 out of 5 stars,-16
43,D.J. Chark Jr.,JAC,WR22,8,24,4 out of 5 stars,-17
44,James Robinson,JAC,RB18,8,22,5 out of 5 stars,-288
45,Courtland Sutton,DEN,WR23,5,25,3 out of 5 stars,-6
46,Tyler Boyd,CIN,WR24,9,26,4 out of 5 stars,-32
47,Julio Jones,ATL,WR25,10,31,2 out of 5 stars,34
48,Jerry Jeudy,DEN,WR26,5,21,3 out of 5 stars,-56
49,Kareem Hunt,CLE,RB19,9,25,3 out of 5 stars,-19
50,Mark Andrews,BAL,TE3,7,25,3 out of 5 stars,14
51,Tyler Lockett,SEA,WR27,6,28,2 out of 5 stars,1
52,Cam Akers,LAR,RB20,9,21,2 out of 5 stars,-9
53,Deebo Samuel,SF,WR28,11,24,2 out of 5 stars,-31
54,Russell Wilson,SEA,QB3,6,32,2 out of 5 stars,-1
55,Lamar Jackson,BAL,QB4,7,23,3 out of 5 stars,38
56,Robert Woods,LAR,WR29,9,28,4 out of 5 stars,2
57,Deshaun Watson,HOU,QB5,8,25,2 out of 5 stars,17
58,Kenyan Drake,ARI,RB21,8,26,3 out of 5 stars,37
59,David Montgomery,CHI,RB22,11,23,4 out of 5 stars,-7
60,Chris Carson,SEA,RB23,6,26,1 out of 5 stars,30
61,Odell Beckham Jr.,CLE,WR30,9,28,5 out of 5 stars,32
62,Jalen Reagor,PHI,WR31,9,21,4 out of 5 stars,-108
63,Dak Prescott,DAL,QB6,10,27,4 out of 5 stars,19
64,Noah Fant,DEN,TE4,5,23,5 out of 5 stars,-48
65,Adam Thielen,MIN,WR32,7,30,4 out of 5 stars,33
66,T.J. Hockenson,DET,TE5,5,23,3 out of 5 stars,-65
67,Darren Waller,LV,TE6,6,28,4 out of 5 stars,5
68,Diontae Johnson,PIT,WR33,4,24,3 out of 5 stars,-47
69,Josh Allen,BUF,QB7,11,24,1 out of 5 stars,-5
70,Chase Claypool,PIT,WR34,4,22,3 out of 5 stars,-188
71,James Conner,PIT,RB24,4,25,3 out of 5 stars,30
72,Ronald Jones II,TB,RB25,13,23,3 out of 5 stars,-21
73,Hunter Henry,LAC,TE7,6,26,3 out of 5 stars,-8
74,Devin Singletary,BUF,RB26,11,23,4 out of 5 stars,15
75,Brandon Aiyuk,SF,WR35,11,22,2 out of 5 stars,-142
76,Melvin Gordon III,DEN,RB27,5,27,4 out of 5 stars,29
77,Michael Gallup,DAL,WR36,10,24,3 out of 5 stars,6
78,Will Fuller V,HOU,WR37,8,26,4 out of 5 stars,-5
79,Todd Gurley II,ATL,RB28,10,26,3 out of 5 stars,52
80,Marquise Brown,BAL,WR38,7,23,5 out of 5 stars,7
81,Henry Ruggs III,LV,WR39,6,21,1 out of 5 stars,-42
82,Laviska Shenault Jr.,JAC,WR40,8,22,4 out of 5 stars,-156
83,Jarvis Landry,CLE,WR41,9,28,5 out of 5 stars,16
84,Darrell Henderson,LAR,RB29,9,23,2 out of 5 stars,-57
85,Joe Burrow,CIN,QB8,9,24,3 out of 5 stars,-59
86,Dallas Goedert,PHI,TE8,9,25,1 out of 5 stars,-65
87,DeVante Parker,MIA,WR42,7,27,3 out of 5 stars,31
88,Leonard Fournette,TB,RB30,13,25,3 out of 5 stars,51
89,Justin Herbert,LAC,QB9,6,22,3 out of 5 stars,-
90,Mike Williams,LAC,WR43,6,26,3 out of 5 stars,-46
91,Jonnu Smith,TEN,TE9,4,25,2 out of 5 stars,-58
92,Evan Engram,NYG,TE10,11,26,3 out of 5 stars,13
93,Raheem Mostert,SF,RB31,11,28,2 out of 5 stars,47
94,Christian Kirk,ARI,WR44,8,24,3 out of 5 stars,-7
95,Denzel Mims,NYJ,WR45,10,23,1 out of 5 stars,-100
96,Zack Moss,BUF,RB32,11,22,4 out of 5 stars,-23
97,Bryan Edwards,LV,WR46,6,22,1 out of 5 stars,-109
98,Robby Anderson,CAR,WR47,13,27,3 out of 5 stars,-45
99,David Johnson,HOU,RB33,8,28,4 out of 5 stars,64
100,Michael Pittman Jr.,IND,WR48,7,23,5 out of 5 stars,-75
101,Brandin Cooks,HOU,WR49,8,27,4 out of 5 stars,16
102,AJ Dillon,GB,RB34,5,22,3 out of 5 stars,-71
103,Zach Ertz,PHI,TE11,9,30,1 out of 5 stars,54
104,Phillip Lindsay,DEN,RB35,5,26,4 out of 5 stars,8
105,Aaron Rodgers,GB,QB10,5,37,4 out of 5 stars,25
106,Mike Gesicki,MIA,TE12,7,25,3 out of 5 stars,-24
107,Tua Tagovailoa,MIA,QB11,7,22,4 out of 5 stars,-194
108,Darius Slayton,NYG,WR50,11,23,3 out of 5 stars,6
109,Alexander Mattison,MIN,RB36,7,22,4 out of 5 stars,-19
110,Chase Edmonds,ARI,RB37,8,24,3 out of 5 stars,-53
111,Ryan Tannehill,TEN,QB12,4,32,2 out of 5 stars,-21
112,Le'Veon Bell,KC,RB38,10,28,3 out of 5 stars,64
113,Mecole Hardman,KC,WR51,10,22,2 out of 5 stars,-12
114,Austin Hooper,CLE,TE13,9,26,4 out of 5 stars,17
115,Matt Ryan,ATL,QB13,10,35,2 out of 5 stars,39
116,Hayden Hurst,ATL,TE14,10,27,2 out of 5 stars,3
117,James White,NE,RB39,5,28,4 out of 5 stars,23
118,Carson Wentz,PHI,QB14,9,27,3 out of 5 stars,28
119,Ke'Shawn Vaughn,TB,RB40,13,23,3 out of 5 stars,-18
120,Damien Harris,NE,RB41,5,23,4 out of 5 stars,-133
121,Matthew Stafford,DET,QB15,5,32,3 out of 5 stars,21
122,Jared Goff,LAR,QB16,9,26,4 out of 5 stars,0
123,Kerryon Johnson,DET,RB42,5,23,3 out of 5 stars,34
124,Tony Pollard,DAL,RB43,10,23,0 out of 5 stars,-43
125,Curtis Samuel,CAR,WR52,13,24,3 out of 5 stars,-41
126,N'Keal Harry,NE,WR53,5,22,1 out of 5 stars,-39
