Christian McCaffrey,RB,CAR,9982
DK Metcalf,WR,SEA,9922
Alvin Kamara,RB,NOS,9732
Dalvin Cook,RB,MIN,9623
Davante Adams,WR,GBP,8914
Saquon Barkley,RB,NYG,8845
Tyreek Hill,WR,KCC,8840
Patrick Mahomes,QB,KCC,8175
AJ Brown,WR,TEN,8117
Derrick Henry,RB,TEN,8078
Justin Jefferson,WR,MIN,8045
Nick Chubb,RB,CLE,8029
George Kittle,TE,SFO,7860
DeAndre Hopkins,WR,ARI,7846
Josh Jacobs,RB,LVR,7621
D'Andre Swift,RB,DET,7572
Michael Thomas,WR,NOS,7522
Calvin Ridley,WR,ATL,7380
Travis Kelce,TE,KCC,7330
Terry McLaurin,WR,WAS,7271
Stefon Diggs,WR,BUF,7142
Clyde Edwards-Helaire,RB,KCC,7142
Aaron Jones,RB,GBP,7049
CeeDee Lamb,WR,DAL,7038
Antonio Gibson,RB,WAS,7033
2021 Early 1st,NA,•FA,6864
Kyler Murray,QB,ARI,6754
Ezekiel Elliott,RB,DAL,6742
Miles Sanders,RB,PHI,6678
JK Dobbins,RB,BAL,6570
Jonathan Taylor,RB,IND,6535
Austin Ekeler,RB,LAC,6474
James Robinson,RB,JAC,6387
Keenan Allen,WR,LAC,6380
Tee Higgins,WR,CIN,6373
Chris Godwin,WR,TBB,6317
Allen Robinson,WR,CHI,5992
Joe Mixon,RB,CIN,5985
DJ Moore,WR,CAR,5975
Chase Claypool,WR,PIT,5956
2022 Early 1st,NA,•FA,5940
Darren Waller,TE,LVR,5905
Russell Wilson,QB,SEA,5865
Kenny Golladay,WR,DET,5862
Deshaun Watson,QB,HOU,5852
2021 Mid 1st,NA,•FA,5734
Amari Cooper,WR,DAL,5671
Josh Allen,QB,BUF,5554
Cam Akers,RB,LAR,5499
Jerry Jeudy,WR,DEN,5499
Mike Evans,WR,TBB,5490
Justin Herbert,QB,LAC,5485
Lamar Jackson,QB,BAL,5453
Brandon Aiyuk,WR,SFO,5444
Tyler Lockett,WR,SEA,5419
TJ Hockenson,TE,DET,5345
Kareem Hunt,RB,CLE,5317
Diontae Johnson,WR,PIT,5288
2022 Mid 1st,NA,•FA,5272
Dak Prescott,QB,DAL,5244
Cooper Kupp,WR,LAR,5154
Courtland Sutton,WR,DEN,5141
JuJu Smith-Schuster,WR,PIT,5107
Tyler Boyd,WR,CIN,5094
Mark Andrews,TE,BAL,5002
2021 Late 1st,NA,•FA,4992
Adam Thielen,WR,MIN,4962
DJ Chark,WR,JAC,4948
Julio Jones,WR,ATL,4947
Joe Burrow,QB,CIN,4881
Chris Carson,RB,SEA,4833
Deebo Samuel,WR,SFO,4759
Ronald Jones,RB,TBB,4742
Robert Woods,WR,LAR,4695
Will Fuller,WR,HOU,4571
David Montgomery,RB,CHI,4549
2022 Late 1st,NA,•FA,4533
Michael Pittman,WR,IND,4461
Noah Fant,TE,DEN,4303
Denzel Mims,WR,NYJ,4301
Odell Beckham,WR,CLE,4299
Jalen Reagor,WR,PHI,4240
Dallas Goedert,TE,PHI,4175
Robby Anderson,WR,CAR,4169
James Conner,RB,PIT,4111
Henry Ruggs,WR,LVR,4033
2021 Early 2nd,NA,•FA,4012
DeVante Parker,WR,MIA,3944
Tua Tagovailoa,QB,MIA,3932
Laviska Shenault,WR,JAC,3915
Aaron Rodgers,QB,GBP,3891
Kenyan Drake,RB,ARI,3850
Damien Harris,RB,NEP,3842
Corey Davis,WR,TEN,3798
2021 Mid 2nd,NA,•FA,3763
Hunter Henry,TE,LAC,3745
Raheem Mostert,RB,SFO,3739
Marquise Brown,WR,BAL,3670
Michael Gallup,WR,DAL,3663
2022 Early 2nd,NA,•FA,3634
Zack Moss,RB,BUF,3630
Christian Kirk,WR,ARI,3619
Mike Williams,WR,LAC,3588
Brandin Cooks,WR,HOU,3529
Mike Gesicki,TE,MIA,3509
Jarvis Landry,WR,CLE,3495
Curtis Samuel,WR,CAR,3486
Jonnu Smith,TE,TEN,3368
Darius Slayton,WR,NYG,3298
Myles Gaskin,RB,MIA,3288
Chase Edmonds,RB,ARI,3286
Evan Engram,TE,NYG,3256
Devin Singletary,RB,BUF,3200
Melvin Gordon,RB,DEN,3114
Darnell Mooney,WR,CHI,3046
2022 Mid 2nd,NA,•FA,3012
Jamison Crowder,WR,NYJ,2985
2021 Late 2nd,NA,•FA,2983
Preston Williams,WR,MIA,2900
Ryan Tannehill,QB,TEN,2858
AJ Dillon,RB,GBP,2828
Mecole Hardman,WR,KCC,2800
Gabriel Davis,WR,BUF,2794
Todd Gurley,RB,ATL,2770
Allen Lazard,WR,GBP,2726
Darrell Henderson,RB,LAR,2719
Jamaal Williams,RB,GBP,2696
KJ Hamler,WR,DEN,2686
Nyheim Hines,RB,IND,2685
Parris Campbell,WR,IND,2683
Leonard Fournette,RB,TBB,2667
Bryan Edwards,WR,LVR,2658
Robert Tonyan,TE,GBP,2595
David Johnson,RB,HOU,2549
Irv Smith Jr,TE,MIN,2531
Alexander Mattison,RB,MIN,2508
Sterling Shepard,WR,NYG,2489
2022 Late 2nd,NA,•FA,2474
Travis Fulgham,WR,PHI,2468
Tony Pollard,RB,DAL,2453
Jared Goff,QB,LAR,2431
Phillip Lindsay,RB,DEN,2419
Hayden Hurst,TE,ATL,2406
Zach Ertz,TE,PHI,2360
Baker Mayfield,QB,CLE,2285
2021 Early 3rd,NA,•FA,2228
Austin Hooper,TE,CLE,2218
John Brown,WR,BUF,2215
Matt Ryan,QB,ATL,2111
Cole Beasley,WR,BUF,2109
Jakobi Meyers,WR,NEP,2057
Mike Davis,RB,CAR,2048
Tim Patrick,WR,DEN,2040
Matthew Stafford,QB,DET,2034
La'Mical Perine,RB,NYJ,2011
Antonio Brown,WR,TBB,1987
James Washington,WR,PIT,1944
