Patrick Mahomes,QB,KCC,9964
Josh Allen,QB,BUF,9479
Deshaun Watson,QB,HOU,9474
Christian McCaffrey,RB,CAR,9021
Kyler Murray,QB,ARI,8933
Justin Herbert,QB,LAC,8752
Jonathan Taylor,RB,IND,8608
Saquon Barkley,RB,NYG,8436
Lamar Jackson,QB,BAL,8223
DK Metcalf,WR,SEA,8178
Dak Prescott,QB,DAL,8174
Justin Jefferson,WR,MIN,8156
Tyreek Hill,WR,KCC,8139
Davante Adams,WR,GBP,8131
Joe Burrow,QB,CIN,8116
Dalvin Cook,RB,MIN,8098
Alvin Kamara,RB,NOS,8059
AJ Brown,WR,TEN,7999
Stefon Diggs,WR,BUF,7407
D'Andre Swift,RB,DET,7405
Nick Chubb,RB,CLE,7374
Russell Wilson,QB,SEA,7368
2021 Early 1st,PI,FA,7351
George Kittle,TE,SFO,7257
Travis Kelce,TE,KCC,7253
Cam Akers,RB,LAR,7226
JK Dobbins,RB,BAL,7106
CeeDee Lamb,WR,DAL,7104
DeAndre Hopkins,WR,ARI,7060
Derrick Henry,RB,TEN,7014
Calvin Ridley,WR,ATL,6966
Antonio Gibson,RB,WAS,6959
DJ Moore,WR,CAR,6686
Terry McLaurin,WR,WAS,6658
Chris Godwin,WR,TBB,6639
Josh Jacobs,RB,LVR,6594
Michael Thomas,WR,NOS,6548
Miles Sanders,RB,PHI,6445
Tee Higgins,WR,CIN,6443
Clyde Edwards-Helaire,RB,KCC,6385
Darren Waller,TE,LVR,6354
Allen Robinson,WR,CHI,6262
2022 Early 1st,PI,FA,6254
Ezekiel Elliott,RB,DAL,6204
Austin Ekeler,RB,LAC,6156
Matthew Stafford,QB,LAR,6124
Aaron Rodgers,QB,GBP,6115
James Robinson,RB,JAC,6073
2021 Mid 1st,PI,FA,6072
Aaron Jones,RB,GBP,6067
Ryan Tannehill,QB,TEN,6043
Joe Mixon,RB,CIN,6016
Mike Evans,WR,TBB,5991
Keenan Allen,WR,LAC,5932
Baker Mayfield,QB,CLE,5911
Brandon Aiyuk,WR,SFO,5834
Amari Cooper,WR,DAL,5832
TJ Hockenson,TE,DET,5691
Jalen Hurts,QB,PHI,5676
Chase Claypool,WR,PIT,5618
David Montgomery,RB,CHI,5564
Tua Tagovailoa,QB,MIA,5559
Courtland Sutton,WR,DEN,5546
Kenny Golladay,WR,DET,5470
2022 Mid 1st,PI,FA,5455
Diontae Johnson,WR,PIT,5370
2021 Late 1st,PI,FA,5327
Jerry Jeudy,WR,DEN,5322
DJ Chark,WR,JAC,5305
Mark Andrews,TE,BAL,5140
Kareem Hunt,RB,CLE,5061
JuJu Smith-Schuster,WR,PIT,5027
Carson Wentz,QB,PHI,4987
Tyler Boyd,WR,CIN,4980
AJ Dillon,RB,GBP,4900
Noah Fant,TE,DEN,4832
Cooper Kupp,WR,LAR,4812
Robert Woods,WR,LAR,4783
Laviska Shenault,WR,JAC,4753
Kirk Cousins,QB,MIN,4602
Michael Pittman,WR,IND,4597
Dallas Goedert,TE,PHI,4585
Deebo Samuel,WR,SFO,4564
Derek Carr,QB,LVR,4531
Odell Beckham,WR,CLE,4471
Julio Jones,WR,ATL,4468
2021 Early 2nd,PI,FA,4463
2022 Late 1st,PI,FA,4456
Will Fuller,WR,HOU,4420
Tyler Lockett,WR,SEA,4381
Daniel Jones,QB,NYG,4352
Ronald Jones,RB,TBB,4342
Adam Thielen,WR,MIN,4337
Denzel Mims,WR,NYJ,4284
Jared Goff,QB,DET,4229
Curtis Samuel,WR,CAR,4132
Michael Gallup,WR,DAL,4068
Marquise Brown,WR,BAL,4028
Brandin Cooks,WR,HOU,3956
Mike Gesicki,TE,MIA,3923
Hunter Henry,TE,LAC,3910
2022 Early 2nd,PI,FA,3885
2021 Mid 2nd,PI,FA,3882
Matt Ryan,QB,ATL,3843
Jalen Reagor,WR,PHI,3843
Robby Anderson,WR,CAR,3809
Chris Carson,RB,SEA,3808
Sam Darnold,QB,NYJ,3797
Corey Davis,WR,TEN,3775
Darnell Mooney,WR,CHI,3749
Jarvis Landry,WR,CLE,3685
Jameis Winston,QB,NOS,3612
Henry Ruggs,WR,LVR,3483
Gabriel Davis,WR,BUF,3475
Evan Engram,TE,NYG,3469
Tom Brady,QB,TBB,3466
Jonnu Smith,TE,TEN,3437
Damien Harris,RB,NEP,3437
2021 Late 2nd,PI,FA,3410
Myles Gaskin,RB,MIA,3393
Tony Pollard,RB,DAL,3382
DeVante Parker,WR,MIA,3376
Mike Williams,WR,LAC,3318
Darius Slayton,WR,NYG,3304
2022 Mid 2nd,PI,FA,3271
Cole Kmet,TE,CHI,3249
Irv Smith,TE,MIN,3246
Chase Edmonds,RB,ARI,3227
Kenyan Drake,RB,ARI,3223
Robert Tonyan,TE,GBP,3204
Melvin Gordon,RB,DEN,3199
Christian Kirk,WR,ARI,3182
Drew Lock,QB,DEN,3108
Leonard Fournette,RB,TBB,3080
Jordan Love,QB,GBP,3019
Parris Campbell,WR,IND,2973
Zack Moss,RB,BUF,2938
Jimmy Garoppolo,QB,SFO,2926
Teddy Bridgewater,QB,CAR,2914
Taysom Hill,QB,NOS,2891
Logan Thomas,TE,WAS,2889
Raheem Mostert,RB,SFO,2852
Devin Singletary,RB,BUF,2829
Alexander Mattison,RB,MIN,2822
Hayden Hurst,TE,ATL,2793
Jamison Crowder,WR,NYJ,2786
Nyheim Hines,RB,IND,2774
Mecole Hardman,WR,KCC,2764
2022 Late 2nd,PI,FA,2704
Jamaal Williams,RB,GBP,2680
2021 Early 3rd,PI,FA,2659
Bryan Edwards,WR,LVR,2650
Rashaad Penny,RB,SEA,2634
Austin Hooper,TE,CLE,2572
Preston Williams,WR,MIA,2551
James Conner,RB,PIT,2544
KJ Hamler,WR,DEN,2536
Tyler Johnson,WR,TBB,2504
Gus Edwards,RB,BAL,2499
Darrell Henderson,RB,LAR,2461
Van Jefferson,WR,LAR,2416
Jeffery Wilson,RB,SFO,2406
Allen Lazard,WR,GBP,2383
Cole Beasley,WR,BUF,2371
Phillip Lindsay,RB,DEN,2314
Antonio Brown,WR,TBB,2301
Sterling Shepard,WR,NYG,2231
Marvin Jones,WR,DET,2200
Donovan Peoples-Jones,WR,CLE,2188
Jakobi Meyers,WR,NEP,2149
Quintez Cephus,WR,DET,2110
Tyler Higbee,TE,LAR,2064
Tarik Cohen,RB,CHI,2032
Nelson Agholor,WR,LVR,1993
Mitchell Trubisky,QB,CHI,1989
Harrison Bryant,TE,CLE,1934
