Patrick Mahomes,QB,KCC,9999
Josh Allen,QB,BUF,9774
Deshaun Watson,QB,HOU,9628
Christian McCaffrey,RB,CAR,9539
Kyler Murray,QB,ARI,9417
Justin Herbert,QB,LAC,8840
Jonathan Taylor,RB,IND,8819
Saquon Barkley,RB,NYG,8613
Justin Jefferson,WR,MIN,8459
Lamar Jackson,QB,BAL,8317
AJ Brown,WR,TEN,8295
DK Metcalf,WR,SEA,8259
Davante Adams,WR,GBP,8167
Dalvin Cook,RB,MIN,8131
Tyreek Hill,WR,KCC,8097
Dak Prescott,QB,DAL,8058
Alvin Kamara,RB,NOS,8044
Joe Burrow,QB,CIN,7989
D'Andre Swift,RB,DET,7767
2021 Early 1st,PI,FA,7463
Russell Wilson,QB,SEA,7433
Stefon Diggs,WR,BUF,7411
Cam Akers,RB,LAR,7342
George Kittle,TE,SFO,7319
Nick Chubb,RB,CLE,7312
Calvin Ridley,WR,ATL,7233
Travis Kelce,TE,KCC,7158
DeAndre Hopkins,WR,ARI,7088
CeeDee Lamb,WR,DAL,7053
JK Dobbins,RB,BAL,7053
Derrick Henry,RB,TEN,7038
Antonio Gibson,RB,WAS,6975
Tee Higgins,WR,CIN,6561
Chris Godwin,WR,TBB,6513
Clyde Edwards-Helaire,RB,KCC,6472
Miles Sanders,RB,PHI,6464
Michael Thomas,WR,NOS,6455
Josh Jacobs,RB,LVR,6413
Terry McLaurin,WR,WAS,6329
Ezekiel Elliott,RB,DAL,6313
DJ Moore,WR,CAR,6298
2021 Mid 1st,PI,FA,6203
Allen Robinson,WR,CHI,6182
James Robinson,RB,JAC,6175
Aaron Rodgers,QB,GBP,6142
Joe Mixon,RB,CIN,6136
Darren Waller,TE,LVR,6133
Aaron Jones,RB,GBP,6075
2022 Early 1st,PI,FA,6071
Brandon Aiyuk,WR,SFO,5955
Austin Ekeler,RB,LAC,5916
Ryan Tannehill,QB,TEN,5863
TJ Hockenson,TE,DET,5861
Keenan Allen,WR,LAC,5855
Mike Evans,WR,TBB,5832
Chase Claypool,WR,PIT,5812
Baker Mayfield,QB,CLE,5788
Matthew Stafford,QB,LAR,5750
Amari Cooper,WR,DAL,5694
Tua Tagovailoa,QB,MIA,5674
Courtland Sutton,WR,DEN,5614
Diontae Johnson,WR,PIT,5500
Kenny Golladay,WR,DET,5470
2022 Mid 1st,PI,FA,5455
DJ Chark,WR,JAC,5437
Jalen Hurts,QB,PHI,5431
Jerry Jeudy,WR,DEN,5383
David Montgomery,RB,CHI,5354
JuJu Smith-Schuster,WR,PIT,5292
Mark Andrews,TE,BAL,5286
AJ Dillon,RB,GBP,5260
2021 Late 1st,PI,FA,5214
Laviska Shenault,WR,JAC,5109
Tyler Boyd,WR,CIN,5018
Kareem Hunt,RB,CLE,5017
Robert Woods,WR,LAR,4962
Cooper Kupp,WR,LAR,4856
Kirk Cousins,QB,MIN,4737
Noah Fant,TE,DEN,4698
Deebo Samuel,WR,SFO,4643
2022 Late 1st,PI,FA,4631
Will Fuller,WR,HOU,4581
Michael Pittman,WR,IND,4568
Derek Carr,QB,LVR,4552
2021 Early 2nd,PI,FA,4538
Dallas Goedert,TE,PHI,4520
Daniel Jones,QB,NYG,4501
Odell Beckham,WR,CLE,4495
