Christian McCaffrey,RB,CAR,9999
Saquon Barkley,RB,NYG,9855
Jonathan Taylor,RB,IND,9605
Dalvin Cook,RB,MIN,9312
Justin Jefferson,WR,MIN,9073
Alvin Kamara,RB,NOS,9026
DK Metcalf,WR,SEA,9012
Tyreek Hill,WR,KCC,8906
Davante Adams,WR,GBP,8895
AJ Brown,WR,TEN,8646
D'Andre Swift,RB,DET,8114
Nick Chubb,RB,CLE,7931
Stefon Diggs,WR,BUF,7826
Patrick Mahomes,QB,KCC,7699
CeeDee Lamb,WR,DAL,7607
George Kittle,TE,SFO,7562
JK Dobbins,RB,BAL,7501
Cam Akers,RB,LAR,7401
DeAndre Hopkins,WR,ARI,7324
Calvin Ridley,WR,ATL,7233
Derrick Henry,RB,TEN,7231
Travis Kelce,TE,KCC,6996
2021 Early 1st,PI,FA,6950
Terry McLaurin,WR,WAS,6839
Antonio Gibson,RB,WAS,6802
Chris Godwin,WR,TBB,6719
Josh Jacobs,RB,LVR,6665
Miles Sanders,RB,PHI,6641
Michael Thomas,WR,NOS,6626
Clyde Edwards-Helaire,RB,KCC,6611
Aaron Jones,RB,GBP,6476
Allen Robinson,WR,CHI,6403
Tee Higgins,WR,CIN,6377
Ezekiel Elliott,RB,DAL,6295
DJ Moore,WR,CAR,6280
Josh Allen,QB,BUF,6219
Austin Ekeler,RB,LAC,6196
Darren Waller,TE,LVR,6156
Kyler Murray,QB,ARI,6116
James Robinson,RB,JAC,6101
Joe Mixon,RB,CIN,6036
Deshaun Watson,QB,HOU,6030
2022 Early 1st,PI,FA,5949
Justin Herbert,QB,LAC,5931
Mike Evans,WR,TBB,5928
Keenan Allen,WR,LAC,5885
Lamar Jackson,QB,BAL,5746
2021 Mid 1st,PI,FA,5746
Chase Claypool,WR,PIT,5708
Amari Cooper,WR,DAL,5665
Courtland Sutton,WR,DEN,5663
Brandon Aiyuk,WR,SFO,5658
David Montgomery,RB,CHI,5596
TJ Hockenson,TE,DET,5511
Kenny Golladay,WR,DET,5402
Diontae Johnson,WR,PIT,5349
DJ Chark,WR,JAC,5286
Dak Prescott,QB,DAL,5272
Jerry Jeudy,WR,DEN,5268
JuJu Smith-Schuster,WR,PIT,5168
Mark Andrews,TE,BAL,5155
Kareem Hunt,RB,CLE,5115
2022 Mid 1st,PI,FA,4956
2021 Late 1st,PI,FA,4950
Joe Burrow,QB,CIN,4844
AJ Dillon,RB,GBP,4843
Robert Woods,WR,LAR,4812
Tyler Boyd,WR,CIN,4790
Noah Fant,TE,DEN,4758
Cooper Kupp,WR,LAR,4745
Russell Wilson,QB,SEA,4736
Laviska Shenault,WR,JAC,4701
Deebo Samuel,WR,SFO,4635
Will Fuller,WR,HOU,4629
Michael Pittman,WR,IND,4561
Odell Beckham,WR,CLE,4560
2022 Late 1st,PI,FA,4446
Julio Jones,WR,ATL,4445
Adam Thielen,WR,MIN,4369
Ronald Jones,RB,TBB,4337
Tyler Lockett,WR,SEA,4307
Dallas Goedert,TE,PHI,4269
Chris Carson,RB,SEA,4214
Aaron Rodgers,QB,GBP,4197
2021 Early 2nd,PI,FA,4123
Denzel Mims,WR,NYJ,4108
Marquise Brown,WR,BAL,4057
Curtis Samuel,WR,CAR,3999
Robby Anderson,WR,CAR,3970
Damien Harris,RB,NEP,3941
2021 Mid 2nd,PI,FA,3918
Michael Gallup,WR,DAL,3914
Jalen Reagor,WR,PHI,3781
Darnell Mooney,WR,CHI,3756
Brandin Cooks,WR,HOU,3719
Myles Gaskin,RB,MIA,3696
Henry Ruggs,WR,LVR,3677
Mike Gesicki,TE,MIA,3670
Jarvis Landry,WR,CLE,3652
2022 Early 2nd,PI,FA,3639
Hunter Henry,TE,LAC,3615
Corey Davis,WR,TEN,3613
Gabriel Davis,WR,BUF,3502
Kenyan Drake,RB,ARI,3401
DeVante Parker,WR,MIA,3309
Robert Tonyan,TE,GBP,3254
Irv Smith,TE,MIN,3248
Melvin Gordon,RB,DEN,3245
Ryan Tannehill,QB,TEN,3222
Jonnu Smith,TE,TEN,3216
Jalen Hurts,QB,PHI,3201
Baker Mayfield,QB,CLE,3189
Tony Pollard,RB,DAL,3189
Darius Slayton,WR,NYG,3122
Christian Kirk,WR,ARI,3038
Chase Edmonds,RB,ARI,3019
Parris Campbell,WR,IND,3018
Raheem Mostert,RB,SFO,3010
Mike Williams,WR,LAC,2975
Leonard Fournette,RB,TBB,2958
2022 Mid 2nd,PI,FA,2927
2021 Late 2nd,PI,FA,2900
Zack Moss,RB,BUF,2892
Tua Tagovailoa,QB,MIA,2856
Matthew Stafford,QB,LAR,2727
Devin Singletary,RB,BUF,2726
Evan Engram,TE,NYG,2712
Mecole Hardman,WR,KCC,2655
KJ Hamler,WR,DEN,2624
Cole Kmet,TE,CHI,2614
James Conner,RB,PIT,2595
Sterling Shepard,WR,NYG,2592
Nyheim Hines,RB,IND,2570
Bryan Edwards,WR,LVR,2541
Logan Thomas,TE,WAS,2483
Jamison Crowder,WR,NYJ,2477
Preston Williams,WR,MIA,2458
2022 Late 2nd,PI,FA,2440
Allen Lazard,WR,GBP,2435
Darrell Henderson,RB,LAR,2382
Jamaal Williams,RB,GBP,2352
Alexander Mattison,RB,MIN,2339
Hayden Hurst,TE,ATL,2286
David Johnson,RB,HOU,2279
Gus Edwards,RB,BAL,2269
Jeffery Wilson,RB,SFO,2244
Austin Hooper,TE,CLE,2223
Cole Beasley,WR,BUF,2219
Antonio Brown,WR,TBB,2192
Rashaad Penny,RB,SEA,2180
Phillip Lindsay,RB,DEN,2163
Van Jefferson,WR,LAR,2155
Russell Gage,WR,ATL,1979
Marvin Jones,WR,DET,1978
Ke'Shawn Vaughn,RB,TBB,1976
Daniel Jones,QB,NYG,1974
2021 Early 3rd,PI,FA,1968
Jakobi Meyers,WR,NEP,1946
Tyler Higbee,TE,LAR,1925
Zach Ertz,TE,PHI,1880
Nelson Agholor,WR,LVR,1800
2021 Mid 3rd,PI,FA,1743
JD McKissic,RB,WAS,1741
Tim Patrick,WR,DEN,1715
Jared Goff,QB,DET,1707
Kirk Cousins,QB,MIN,1693
Quintez Cephus,WR,DET,1649
Tarik Cohen,RB,CHI,1643
Tyler Johnson,WR,TBB,1638
Anthony McFarland,RB,PIT,1603
La'Mical Perine,RB,NYJ,1602
Matt Ryan,QB,ATL,1595
Adam Trautman,TE,NOS,1576
James Washington,WR,PIT,1561
Joshua Kelley,RB,LAC,1556
2022 Early 3rd,PI,FA,1517
Todd Gurley,RB,ATL,1510
Marlon Mack,RB,IND,1482
John Brown,WR,BUF,1477
Tom Brady,QB,TBB,1467
Carson Wentz,QB,PHI,1446
Blake Jarwin,TE,DAL,1443
Derek Carr,QB,LVR,1436
Donovan Peoples-Jones,WR,CLE,1421
Mike Davis,RB,CAR,1387
TY Hilton,WR,IND,1382
Scott Miller,WR,TBB,1349
Sony Michel,RB,NEP,1337
2021 Late 3rd,PI,FA,1328
Harrison Bryant,TE,CLE,1324
Sam Darnold,QB,NYJ,1320
2022 Mid 3rd,PI,FA,1313
Dawson Knox,TE,BUF,1296
Marquez Valdes-Scantling,WR,GBP,1290
Anthony Miller,WR,CHI,1256
David Njoku,TE,CLE,1227
Jameis Winston,QB,NOS,1217
Hunter Renfrow,WR,LVR,1213
Salvon Ahmed,RB,MIA,1171
Taysom Hill,QB,NOS,1162
Lynn Bowden,RB,MIA,1148
OJ Howard,TE,TBB,1133
Dalton Schultz,TE,DAL,1127
Rashard Higgins,WR,CLE,1116
DeeJay Dallas,RB,SEA,1080
Josh Reynolds,WR,LAR,1067
N'Keal Harry,WR,NEP,1060
Keke Coutee,WR,HOU,1052
Benny Snell,RB,PIT,1005
Jalen Guyton,WR,LAC,988
Rob Gronkowski,TE,TBB,987
2022 Late 3rd,PI,FA,984
Latavius Murray,RB,NOS,982
Justin Jackson,RB,LAC,981
Tre'Quan Smith,WR,NOS,950
Christopher Herndon,TE,NYJ,936
Devin Duvernay,WR,BAL,918
Eric Ebron,TE,PIT,914
Darrynton Evans,RB,TEN,905
Antonio Gandy-Golden,WR,WAS,894
Jordan Love,QB,GBP,879
Zach Pascal,WR,IND,878
Travis Fulgham,WR,PHI,864
Jamycal Hasty,RB,SFO,863
Sammy Watkins,WR,KCC,862
Wayne Gallman,RB,NYG,842
Gerald Everett,TE,LAR,840
Collin Johnson,WR,JAC,826
Damien Williams,RB,KCC,794
Miles Boykin,WR,BAL,793
Drew Lock,QB,DEN,764
Steven Sims,WR,WAS,727
Breshad Perriman,WR,NYJ,709
Andy Isabella,WR,ARI,702
Keelan Cole,WR,JAC,696
Donald Parham,TE,LAC,692
Darrel Williams,RB,KCC,670
James White,RB,NEP,643
Jimmy Garoppolo,QB,SFO,636
Kerryon Johnson,RB,DET,607
