Christian McCaffrey,RB,CAR,9988
Alvin Kamara,RB,NOS,9657
Saquon Barkley,RB,NYG,9520
Dalvin Cook,RB,MIN,9409
DK Metcalf,WR,SEA,9211
Davante Adams,WR,GBP,9120
Justin Jefferson,WR,MIN,9037
Jonathan Taylor,RB,IND,8996
Tyreek Hill,WR,KCC,8794
AJ Brown,WR,TEN,8299
Patrick Mahomes,QB,KCC,7897
Nick Chubb,RB,CLE,7807
Stefon Diggs,WR,BUF,7802
D'Andre Swift,RB,DET,7797
Derrick Henry,RB,TEN,7643
DeAndre Hopkins,WR,ARI,7533
Calvin Ridley,WR,ATL,7526
George Kittle,TE,SFO,7503
CeeDee Lamb,WR,DAL,7375
JK Dobbins,RB,BAL,7348
Travis Kelce,TE,KCC,7245
Cam Akers,RB,LAR,7121
Chris Godwin,WR,TBB,6884
Terry McLaurin,WR,WAS,6884
Josh Jacobs,RB,LVR,6829
Antonio Gibson,RB,WAS,6779
2021 Early 1st,PI,FA,6676
Clyde Edwards-Helaire,RB,KCC,6650
Michael Thomas,WR,NOS,6598
Miles Sanders,RB,PHI,6501
Josh Allen,QB,BUF,6315
Tee Higgins,WR,CIN,6313
James Robinson,RB,JAC,6270
Darren Waller,TE,LVR,6254
Aaron Jones,RB,GBP,6250
Allen Robinson,WR,CHI,6228
Austin Ekeler,RB,LAC,6223
Kyler Murray,QB,ARI,6194
Deshaun Watson,QB,HOU,6102
Joe Mixon,RB,CIN,6099
Ezekiel Elliott,RB,DAL,6074
DJ Moore,WR,CAR,6061
2022 Early 1st,PI,FA,5895
Lamar Jackson,QB,BAL,5850
Mike Evans,WR,TBB,5829
Justin Herbert,QB,LAC,5776
Brandon Aiyuk,WR,SFO,5757
Keenan Allen,WR,LAC,5735
David Montgomery,RB,CHI,5685
Amari Cooper,WR,DAL,5613
2021 Mid 1st,PI,FA,5594
Kenny Golladay,WR,DET,5542
Chase Claypool,WR,PIT,5540
Diontae Johnson,WR,PIT,5518
Jerry Jeudy,WR,DEN,5506
TJ Hockenson,TE,DET,5429
2022 Mid 1st,PI,FA,5403
Courtland Sutton,WR,DEN,5396
Kareem Hunt,RB,CLE,5309
DJ Chark,WR,JAC,5091
2021 Late 1st,PI,FA,5073
Dak Prescott,QB,DAL,5019
Russell Wilson,QB,SEA,5005
Cooper Kupp,WR,LAR,4924
JuJu Smith-Schuster,WR,PIT,4914
Mark Andrews,TE,BAL,4845
Noah Fant,TE,DEN,4832
Robert Woods,WR,LAR,4810
Joe Burrow,QB,CIN,4762
AJ Dillon,RB,GBP,4714
Tyler Lockett,WR,SEA,4712
Julio Jones,WR,ATL,4688
Deebo Samuel,WR,SFO,4625
2022 Late 1st,PI,FA,4616
Tyler Boyd,WR,CIN,4609
Laviska Shenault,WR,JAC,4583
Adam Thielen,WR,MIN,4510
Will Fuller,WR,HOU,4488
Michael Pittman,WR,IND,4459
Odell Beckham,WR,CLE,4415
Ronald Jones,RB,TBB,4369
Chris Carson,RB,SEA,4326
Dallas Goedert,TE,PHI,4228
Marquise Brown,WR,BAL,4201
Aaron Rodgers,QB,GBP,4145
2021 Early 2nd,PI,FA,4139
Denzel Mims,WR,NYJ,4101
Michael Gallup,WR,DAL,4020
Brandin Cooks,WR,HOU,3943
Robby Anderson,WR,CAR,3913
Jalen Reagor,WR,PHI,3864
Jarvis Landry,WR,CLE,3792
Curtis Samuel,WR,CAR,3789
Henry Ruggs,WR,LVR,3767
Corey Davis,WR,TEN,3758
Darnell Mooney,WR,CHI,3723
DeVante Parker,WR,MIA,3688
Myles Gaskin,RB,MIA,3672
2022 Early 2nd,PI,FA,3671
Mike Gesicki,TE,MIA,3598
Kenyan Drake,RB,ARI,3576
Gabriel Davis,WR,BUF,3568
2021 Mid 2nd,PI,FA,3558
Hunter Henry,TE,LAC,3479
Mike Williams,WR,LAC,3397
Robert Tonyan,TE,GBP,3390
Zack Moss,RB,BUF,3368
Damien Harris,RB,NEP,3345
Melvin Gordon,RB,DEN,3283
Tua Tagovailoa,QB,MIA,3223
Ryan Tannehill,QB,TEN,3218
Baker Mayfield,QB,CLE,3207
Tony Pollard,RB,DAL,3200
Jalen Hurts,QB,PHI,3182
Raheem Mostert,RB,SFO,3158
Jonnu Smith,TE,TEN,2957
Chase Edmonds,RB,ARI,2950
2022 Mid 2nd,PI,FA,2918
Christian Kirk,WR,ARI,2916
Irv Smith,TE,MIN,2911
Evan Engram,TE,NYG,2906
Darius Slayton,WR,NYG,2879
James Conner,RB,PIT,2782
Parris Campbell,WR,IND,2759
2021 Late 2nd,PI,FA,2755
Bryan Edwards,WR,LVR,2736
Mecole Hardman,WR,KCC,2731
Nyheim Hines,RB,IND,2686
Cole Kmet,TE,CHI,2661
Jamison Crowder,WR,NYJ,2658
Devin Singletary,RB,BUF,2648
Alexander Mattison,RB,MIN,2636
KJ Hamler,WR,DEN,2590
Leonard Fournette,RB,TBB,2580
2022 Late 2nd,PI,FA,2523
Austin Hooper,TE,CLE,2496
Logan Thomas,TE,WAS,2494
David Johnson,RB,HOU,2453
Hayden Hurst,TE,ATL,2452
Cole Beasley,WR,BUF,2430
Rashaad Penny,RB,SEA,2349
Allen Lazard,WR,GBP,2346
Matthew Stafford,QB,DET,2253
Sterling Shepard,WR,NYG,2249
Preston Williams,WR,MIA,2241
Darrell Henderson,RB,LAR,2233
Jamaal Williams,RB,GBP,2214
Antonio Brown,WR,TBB,2204
Phillip Lindsay,RB,DEN,2161
2021 Early 3rd,PI,FA,2106
Jakobi Meyers,WR,NEP,2105
Van Jefferson,WR,LAR,2054
Tim Patrick,WR,DEN,2000
Jared Goff,QB,LAR,1993
Russell Gage,WR,ATL,1989
Marvin Jones,WR,DET,1980
Zach Ertz,TE,PHI,1864
John Brown,WR,BUF,1859
JD McKissic,RB,WAS,1854
Ke'Shawn Vaughn,RB,TBB,1842
Nelson Agholor,WR,LVR,1837
Daniel Jones,QB,NYG,1809
2022 Early 3rd,PI,FA,1756
2021 Mid 3rd,PI,FA,1734
La'Mical Perine,RB,NYJ,1733
Gus Edwards,RB,BAL,1710
Donovan Peoples-Jones,WR,CLE,1676
Derek Carr,QB,LVR,1668
Tyler Higbee,TE,LAR,1667
Jeffery Wilson,RB,SFO,1639
Todd Gurley,RB,ATL,1631
Tarik Cohen,RB,CHI,1618
Quintez Cephus,WR,DET,1593
Marlon Mack,RB,IND,1567
James Washington,WR,PIT,1556
Matt Ryan,QB,ATL,1553
Tyler Johnson,WR,TBB,1543
Joshua Kelley,RB,LAC,1542
Kirk Cousins,QB,MIN,1527
Anthony McFarland,RB,PIT,1524
Mike Davis,RB,CAR,1451
Marquez Valdes-Scantling,WR,GBP,1427
Tom Brady,QB,TBB,1424
Latavius Murray,RB,NOS,1406
Rashard Higgins,WR,CLE,1403
Harrison Bryant,TE,CLE,1359
TY Hilton,WR,IND,1339
2022 Mid 3rd,PI,FA,1332
Anthony Miller,WR,CHI,1319
Adam Trautman,TE,NOS,1313
Carson Wentz,QB,PHI,1288
Blake Jarwin,TE,DAL,1284
Hunter Renfrow,WR,LVR,1271
Salvon Ahmed,RB,MIA,1263
2021 Late 3rd,PI,FA,1252
DeeJay Dallas,RB,SEA,1224
Keke Coutee,WR,HOU,1193
Dawson Knox,TE,BUF,1183
Sony Michel,RB,NEP,1179
Sam Darnold,QB,NYJ,1144
Darrynton Evans,RB,TEN,1126
Dalton Schultz,TE,DAL,1124
Taysom Hill,QB,NOS,1119
Travis Fulgham,WR,PHI,1115
Devin Duvernay,WR,BAL,1077
Eric Ebron,TE,PIT,1075
Gerald Everett,TE,LAR,1054
Benny Snell,RB,PIT,1043
Lynn Bowden,RB,MIA,1037
N'Keal Harry,WR,NEP,1035
2022 Late 3rd,PI,FA,1023
Scott Miller,WR,TBB,1016
OJ Howard,TE,TBB,970
Sammy Watkins,WR,KCC,933
Jordan Love,QB,GBP,932
Collin Johnson,WR,JAC,929
Drew Lock,QB,DEN,921
Damien Williams,RB,KCC,894
Zach Pascal,WR,IND,893
Rob Gronkowski,TE,TBB,887
Breshad Perriman,WR,NYJ,885
Tre'Quan Smith,WR,NOS,875
