Patrick Mahomes,QB,KCC,9999
Josh Allen,QB,BUF,9819
Christian McCaffrey,RB,CAR,9701
Deshaun Watson,QB,HOU,9515
Kyler Murray,QB,ARI,9278
Justin Herbert,QB,LAC,8931
Saquon Barkley,RB,NYG,8710
Jonathan Taylor,RB,IND,8679
Justin Jefferson,WR,MIN,8384
Lamar Jackson,QB,BAL,8316
Davante Adams,WR,GBP,8268
DK Metcalf,WR,SEA,8240
Dak Prescott,QB,DAL,8211
Tyreek Hill,WR,KCC,8173
Dalvin Cook,RB,MIN,8152
AJ Brown,WR,TEN,8060
Alvin Kamara,RB,NOS,8041
Joe Burrow,QB,CIN,8003
D'Andre Swift,RB,DET,7640
Stefon Diggs,WR,BUF,7424
2021 Early 1st,PI,FA,7400
Nick Chubb,RB,CLE,7399
George Kittle,TE,SFO,7355
Russell Wilson,QB,SEA,7349
CeeDee Lamb,WR,DAL,7279
Calvin Ridley,WR,ATL,7266
Cam Akers,RB,LAR,7163
Derrick Henry,RB,TEN,7101
JK Dobbins,RB,BAL,7078
Travis Kelce,TE,KCC,7047
DeAndre Hopkins,WR,ARI,7017
Antonio Gibson,RB,WAS,6839
Clyde Edwards-Helaire,RB,KCC,6548
Miles Sanders,RB,PHI,6541
Tee Higgins,WR,CIN,6527
Chris Godwin,WR,TBB,6523
Michael Thomas,WR,NOS,6520
Josh Jacobs,RB,LVR,6520
Terry McLaurin,WR,WAS,6431
DJ Moore,WR,CAR,6344
Ezekiel Elliott,RB,DAL,6285
Allen Robinson,WR,CHI,6275
James Robinson,RB,JAC,6235
Aaron Jones,RB,GBP,6196
2021 Mid 1st,PI,FA,6142
Darren Waller,TE,LVR,6135
Aaron Rodgers,QB,GBP,6130
2022 Early 1st,PI,FA,6111
Mike Evans,WR,TBB,6033
Joe Mixon,RB,CIN,6012
Brandon Aiyuk,WR,SFO,5988
Austin Ekeler,RB,LAC,5870
Baker Mayfield,QB,CLE,5861
Matthew Stafford,QB,LAR,5851
Chase Claypool,WR,PIT,5826
TJ Hockenson,TE,DET,5791
Keenan Allen,WR,LAC,5786
Ryan Tannehill,QB,TEN,5760
Courtland Sutton,WR,DEN,5742
Amari Cooper,WR,DAL,5738
Diontae Johnson,WR,PIT,5596
Tua Tagovailoa,QB,MIA,5482
Mark Andrews,TE,BAL,5446
David Montgomery,RB,CHI,5423
Jalen Hurts,QB,PHI,5421
Kenny Golladay,WR,DET,5418
Jerry Jeudy,WR,DEN,5402
2022 Mid 1st,PI,FA,5401
JuJu Smith-Schuster,WR,PIT,5308
2021 Late 1st,PI,FA,5301
DJ Chark,WR,JAC,5284
AJ Dillon,RB,GBP,5008
Kareem Hunt,RB,CLE,4972
Cooper Kupp,WR,LAR,4924
Tyler Boyd,WR,CIN,4895
Robert Woods,WR,LAR,4890
Laviska Shenault,WR,JAC,4783
Noah Fant,TE,DEN,4756
Deebo Samuel,WR,SFO,4688
Will Fuller,WR,HOU,4684
2022 Late 1st,PI,FA,4667
Kirk Cousins,QB,MIN,4654
2021 Early 2nd,PI,FA,4643
Adam Thielen,WR,MIN,4579
Derek Carr,QB,LVR,4564
Michael Pittman,WR,IND,4554
Tyler Lockett,WR,SEA,4491
Julio Jones,WR,ATL,4443
Dallas Goedert,TE,PHI,4368
Carson Wentz,QB,PHI,4342
Odell Beckham,WR,CLE,4341
Marquise Brown,WR,BAL,4291
Michael Gallup,WR,DAL,4271
Curtis Samuel,WR,CAR,4250
Daniel Jones,QB,NYG,4187
Chris Carson,RB,SEA,4184
Denzel Mims,WR,NYJ,4180
Ronald Jones,RB,TBB,4173
Jalen Reagor,WR,PHI,4089
Corey Davis,WR,TEN,4028
Hunter Henry,TE,LAC,3998
Jared Goff,QB,DET,3980
2022 Early 2nd,PI,FA,3909
Brandin Cooks,WR,HOU,3897
Sam Darnold,QB,NYJ,3809
Robby Anderson,WR,CAR,3808
Mike Gesicki,TE,MIA,3801
Matt Ryan,QB,ATL,3798
Myles Gaskin,RB,MIA,3784
Jarvis Landry,WR,CLE,3779
2021 Mid 2nd,PI,FA,3776
Gabriel Davis,WR,BUF,3746
Damien Harris,RB,NEP,3694
Darnell Mooney,WR,CHI,3588
DeVante Parker,WR,MIA,3550
Jameis Winston,QB,NOS,3543
Henry Ruggs,WR,LVR,3539
Robert Tonyan,TE,GBP,3498
Melvin Gordon,RB,DEN,3416
Mike Williams,WR,LAC,3337
Evan Engram,TE,NYG,3317
Tony Pollard,RB,DAL,3307
2021 Late 2nd,PI,FA,3298
Tom Brady,QB,TBB,3294
Kenyan Drake,RB,ARI,3288
Irv Smith,TE,MIN,3288
Jonnu Smith,TE,TEN,3269
2022 Mid 2nd,PI,FA,3232
Darius Slayton,WR,NYG,3173
Christian Kirk,WR,ARI,3156
Chase Edmonds,RB,ARI,3114
Cole Kmet,TE,CHI,3104
Mecole Hardman,WR,KCC,3103
Jimmy Garoppolo,QB,SFO,3076
Parris Campbell,WR,IND,3058
Leonard Fournette,RB,TBB,3054
Zack Moss,RB,BUF,3027
Drew Lock,QB,DEN,2986
Taysom Hill,QB,NOS,2986
Jordan Love,QB,GBP,2984
Teddy Bridgewater,QB,CAR,2928
Alexander Mattison,RB,MIN,2911
Raheem Mostert,RB,SFO,2853
Jamison Crowder,WR,NYJ,2818
2022 Late 2nd,PI,FA,2812
Bryan Edwards,WR,LVR,2776
Devin Singletary,RB,BUF,2764
Logan Thomas,TE,WAS,2742
Jamaal Williams,RB,GBP,2735
Hayden Hurst,TE,ATL,2693
Preston Williams,WR,MIA,2648
KJ Hamler,WR,DEN,2597
